name,fastq,transgene
S-1312,/net/bmc-lab3/data/bcc/projects/cmelen-Love/071223_ONT/230630LovA/D23-8629/all_sHF171.fastq,A-vector_herceptin_pEY345
S-1414,/net/bmc-lab3/data/bcc/projects/cmelen-Love/072423_ONT/230718Lov/data/all_S-1414.fastq,A-vector_herceptin_pEY345
S-2133,/net/bmc-lab3/data/bcc/projects/cmelen-Love/073123_ONT/230726Lov/data/all_79.5.fastq,A-vector_herceptin_pEY345
S-1077,/net/bmc-lab3/data/bcc/projects/cmelen-Love/072423_ONT/230718Lov/data/all_S-1077-1.fastq,s_GFP
sHF96.6,/net/bmc-lab3/data/bcc/projects/cmelen-Love/073123_ONT/230726Lov/data/all_96.6.fastq,B1_boNT
